"Academic Journal Guide 2024期刊目录（即ABS Journal Ranking 2024版目录）
源自 https://charteredabs.org/academic-journal-guide/academic-journal-guide-2024，共收录1822本期刊。",,,
ID,Field,Ttitle,AJG_2024
1,ACCOUNT,Accounting Review,4*
2,ACCOUNT,"Accounting, Organizations and Society",4*
3,ACCOUNT,Journal of Accounting and Economics,4*
4,ACCOUNT,Journal of Accounting Research,4*
5,ACCOUNT,Contemporary Accounting Research,4
6,ACCOUNT,Review of Accounting Studies,4
7,ACCOUNT,Abacus,3
8,ACCOUNT,Accounting and Business Research,3
9,ACCOUNT,Accounting Forum,3
10,ACCOUNT,Accounting Horizons,3
11,ACCOUNT,"Accounting, Auditing and Accountability Journal",3
12,ACCOUNT,Auditing,3
13,ACCOUNT,Behavioral Research in Accounting,3
14,ACCOUNT,British Accounting Review,3
15,ACCOUNT,British Tax Review,3
16,ACCOUNT,Critical Perspectives on Accounting,3
17,ACCOUNT,European Accounting Review,3
18,ACCOUNT,Financial Accountability and Management,3
19,ACCOUNT,Foundations and Trends in Accounting,3
20,ACCOUNT,International Journal of Accounting,3
21,ACCOUNT,Journal of Accounting and Public Policy,3
22,ACCOUNT,Journal of Accounting Literature,3
23,ACCOUNT,"Journal of Accounting, Auditing and Finance",3
24,ACCOUNT,Journal of Business Finance and Accounting,3
25,ACCOUNT,Journal of Financial Reporting,3
26,ACCOUNT,"Journal of International Accounting, Auditing and Taxation",3
27,ACCOUNT,Journal of the American Taxation Association,3
28,ACCOUNT,Management Accounting Research,3
29,ACCOUNT,Accounting and Finance,2
30,ACCOUNT,Accounting and the Public Interest,2
31,ACCOUNT,Accounting in Europe,2
32,ACCOUNT,Accounting Research Journal,2
33,ACCOUNT,"Accounting, Economics and Law: A Convivium",2
34,ACCOUNT,Advances in Accounting,2
35,ACCOUNT,Advances in Accounting Behavioral Research,2
36,ACCOUNT,Advances in Management Accounting,2
37,ACCOUNT,Advances in Taxation,2
39,ACCOUNT,Asia-Pacific Journal of Accounting and Economics,2
38,ACCOUNT,Asian Review of Accounting,2
40,ACCOUNT,Australian Accounting Review,2
41,ACCOUNT,China Journal of Accounting Research,2
42,ACCOUNT,Current Issues in Auditing,2
43,ACCOUNT,International Journal of Accounting and Information Management,2
44,ACCOUNT,International Journal of Accounting Information Systems,2
45,ACCOUNT,"International Journal of Accounting, Auditing and Performance Evaluation",2
46,ACCOUNT,International Journal of Auditing,2
47,ACCOUNT,International Journal of Disclosure and Governance,2
